#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
156,Massimo Bulleri,0,BOL,11,13.5,5.6,1.4,3.8,357,0.7,2.4,308,2.2,2.4,923,0.3,1.1,1.4,1.8,1.6,0.0,1.6,1.9
157,Dante Calabria,0,BOL,29,16.8,5.6,1.9,4.4,419,1.3,3.2,398,0.6,0.7,800,0.3,0.9,1.2,0.8,0.9,0.1,1.0,1.6
158,Michele Mian,0,SOLS,33,18.0,5.5,1.9,4.2,453,1.0,2.5,405,0.7,0.9,742,0.3,1.1,1.4,0.3,0.7,0.0,0.8,1.6
159,Dalibor Bagaric,0,BOL,30,14.1,5.4,2.2,3.8,583,0.0,0.0,0,1.0,1.5,630,1.5,3.1,4.6,0.6,1.0,0.8,1.7,2.5
160,Joel Zacchetti,0,PAU,31,14.6,5.4,2.1,4.7,435,0.4,1.2,306,0.9,1.3,718,1.0,2.2,3.2,0.3,0.4,0.4,1.2,2.0
161,Spencer Nelson,0,BOL,9,19.4,5.3,1.6,4.3,359,0.3,1.2,273,1.9,2.2,850,1.6,2.0,3.6,0.8,1.2,0.1,2.4,3.6
162,Donnie McGrath,0,CAN,9,19.1,5.3,1.9,6.3,298,1.1,4.4,250,0.4,0.4,1.00,0.1,1.0,1.1,0.7,0.8,0.0,1.0,1.7
163,Robert Fultz,0,PES,34,15.9,5.3,1.9,4.5,412,0.9,2.5,357,0.7,1.3,581,0.3,1.1,1.4,1.4,0.7,0.0,1.8,1.1
164,Andrea Crosariol,0,BOL,19,16.0,5.3,2.4,3.5,682,0.0,0.0,0,0.6,1.4,407,1.7,2.5,4.2,0.2,0.7,0.8,1.7,2.4
165,Franco Migliori,0,TER,26,14.3,5.3,1.7,4.3,396,1.2,2.7,437,0.7,1.1,655,0.4,1.3,1.7,0.5,1.1,0.0,0.8,2.6
166,Giorgio Boscagin,0,VAR,33,20.3,5.3,2.0,4.6,431,0.6,1.6,365,0.7,0.8,857,0.8,1.4,2.2,0.5,1.0,0.0,1.2,2.2
167,Daniele Cavaliero,0,AVE,30,20.1,5.3,1.8,4.2,424,1.0,2.4,431,0.7,1.2,600,0.5,0.9,1.3,2.2,1.2,0.0,1.6,1.8
168,Catalin Burlacu,0,AVE,39,16.3,5.1,1.8,4.4,410,0.7,2.2,326,0.8,1.2,638,0.9,2.6,3.5,0.7,1.1,0.2,1.7,2.7
169,Rodrigo De La Fuente,0,TREV,8,15.3,5.1,1.6,3.4,481,0.5,1.1,444,1.4,1.8,786,0.6,2.3,2.9,1.5,0.8,0.1,1.3,1.5
170,Jonas Jerebko,0,BEI,33,16.3,5.1,2.1,4.2,489,0.3,1.2,268,0.6,0.9,677,1.5,1.8,3.3,0.6,1.0,0.3,0.9,2.5
171,Valerio Spinelli,0,BEI,26,17.6,5.0,1.2,3.3,376,0.5,1.7,311,2.0,2.7,768,0.3,1.0,1.2,2.0,1.1,0.0,2.2,1.6
172,Derrick Tarver,0,SCAF,5,15.6,5.0,1.8,4.6,391,0.2,2.4,83,1.2,2.0,600,0.4,0.2,0.6,0.6,0.6,0.0,1.6,0.8
173,Povilas Cukinas,0,CAN,38,16.6,4.8,2.1,3.6,585,0.1,0.2,375,0.6,1.4,434,1.3,2.3,3.6,0.3,0.8,0.3,1.2,2.9
174,Giuliano Maresca,0,TREV,19,14.0,4.8,1.7,4.2,418,0.7,2.3,318,0.6,0.8,750,0.3,0.8,1.1,0.4,0.9,0.1,0.8,2.4
175,Hector Romero,0,SANA,6,9.5,4.8,1.5,2.3,643,0.0,0.2,0,1.8,2.2,846,0.5,1.7,2.2,0.3,0.3,0.5,0.2,1.7
176,Marcus Campbell,0,AVE,8,10.0,4.6,1.6,2.6,619,0.0,0.0,0,1.4,2.1,647,0.6,1.9,2.5,0.0,0.8,0.3,1.8,1.8
177,Demian Filloy,0,MON,14,14.9,4.6,1.6,4.1,404,0.6,2.1,300,0.6,1.0,643,1.1,1.9,3.0,0.6,1.0,0.2,0.6,2.4
178,Simone Cotani,0,BEI,33,15.5,4.5,1.4,3.6,392,0.5,1.7,304,1.2,1.9,613,1.2,1.6,2.8,0.6,1.2,0.1,1.2,2.5
179,Casey Shaw,0,MIL,41,15.0,4.5,1.8,2.8,640,0.0,0.0,0,0.9,1.5,633,1.7,2.2,3.8,0.3,0.5,0.2,0.8,2.4
