#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
25,Ron Slay,0,JUV,28,33.0,13.5,4.4,10.2,428,1.7,4.9,346,3.1,4.5,698,1.6,5.9,7.5,1.5,1.6,0.1,2.9,2.8
26,Keith Langford,0,BOL,34,28.4,13.4,4.7,8.6,548,1.1,2.8,389,2.9,4.3,676,1.0,3.4,4.4,1.7,1.9,0.7,2.2,2.2
27,Brandon Hunter,0,MON,30,30.0,13.3,4.8,9.6,502,0.0,0.2,143,3.6,5.5,665,3.1,6.4,9.5,1.1,1.4,0.4,3.0,3.0
28,Sundiata Gaines,0,CAN,30,31.9,13.1,4.4,10.6,411,1.5,4.4,351,2.9,4.9,589,0.7,2.7,3.4,2.5,2.1,0.1,2.2,2.2
29,Bryce Taylor,0,MON,30,28.6,13.0,4.5,9.6,469,1.5,4.1,369,2.5,3.1,826,0.6,1.8,2.4,0.5,1.3,0.4,2.0,3.5
30,Rimantas Kaukenas,0,SANA,34,24.2,13.0,4.5,8.5,531,1.2,2.6,449,2.8,3.4,842,0.5,0.9,1.4,1.3,1.6,0.1,1.8,2.1
31,B.J. Elder,0,CAN,30,29.9,13.0,5.2,10.7,481,1.6,4.3,383,1.0,1.6,660,0.5,2.1,2.6,1.3,1.3,0.2,2.7,2.3
32,Qyntel Woods,0,BOL,10,25.9,12.9,4.5,11.0,409,0.8,3.5,229,3.1,3.4,912,0.8,3.1,3.9,0.9,1.8,0.4,3.0,1.9
33,Allan Ray,0,ROM,9,22.0,12.9,3.9,8.8,443,1.0,3.4,290,4.1,4.6,902,0.9,1.6,2.4,1.6,1.6,0.1,3.3,3.7
34,David Moss,0,TER,34,34.8,12.9,5.0,9.6,520,0.8,1.9,413,2.1,2.9,737,1.4,4.7,6.1,1.7,2.0,0.5,2.0,2.9
35,Terrell McIntyre,1,SANA,38,25.7,12.8,4.1,9.3,435,2.2,5.9,377,2.5,2.7,923,0.4,2.0,2.4,5.2,2.8,0.1,2.7,1.6
36,Romain Sato,0,SANA,39,25.5,12.6,4.3,7.6,569,1.5,3.2,480,2.5,3.2,774,1.8,3.2,5.0,1.4,1.7,0.2,1.4,2.2
37,James Gist,0,BEI,39,27.0,12.5,4.7,8.8,531,1.1,2.2,494,2.1,3.0,698,1.7,4.3,6.0,0.5,1.4,0.8,2.0,3.2
38,Ndudi Ebi,0,FER,30,24.8,12.5,5.2,10.4,503,0.6,2.5,253,1.4,1.9,737,1.6,4.5,6.1,0.3,1.8,1.5,2.0,3.3
39,Ksystof Lavrinovic,0,SANA,37,21.5,12.4,4.3,7.7,556,1.2,2.7,455,2.6,3.2,831,1.4,3.9,5.4,1.0,1.9,0.5,1.3,1.8
40,Ali Muhammed,0,TREV,17,31.5,12.4,4.0,10.2,393,2.6,6.9,381,1.8,2.1,833,0.9,2.0,2.9,3.8,2.1,0.1,3.1,2.4
41,Tamar Slay,0,AVE,7,26.3,12.3,4.7,10.0,471,1.7,4.3,400,1.1,2.1,533,1.1,4.0,5.1,0.4,0.7,0.6,2.9,2.7
42,Brandon Brown,0,TER,33,29.2,12.3,4.2,9.4,452,1.1,3.9,281,2.7,4.4,614,2.4,4.8,7.2,1.2,1.5,0.5,2.0,2.1
43,Kostas Vasiliadis,0,MON,9,26.1,12.2,3.3,9.0,370,2.6,6.9,371,3.0,3.4,871,1.0,2.2,3.2,1.1,1.1,0.1,1.3,1.9
44,Oscar Torres,0,PAU,21,30.9,12.2,4.4,10.0,440,1.8,4.7,378,1.7,2.0,833,1.7,4.4,6.1,1.5,1.7,0.2,2.1,3.0
45,Evangelos Sklavos,0,SOLS,30,33.0,12.0,3.5,8.7,402,1.3,4.3,313,3.7,4.5,822,1.2,4.3,5.5,0.9,1.3,0.1,2.8,2.6
46,Joseph Forte,0,PAU,18,30.5,12.0,4.6,11.1,410,1.4,4.4,325,1.4,1.8,813,0.4,3.1,3.4,3.5,2.0,0.1,2.7,2.2
47,Sandro Nicevic,0,TREV,37,24.6,11.8,4.9,8.4,590,0.0,0.1,0,1.9,2.3,814,1.2,3.7,5.0,1.5,1.5,0.7,2.1,2.5
48,Omar Thomas,0,SOLS,25,28.0,11.5,4.2,9.7,438,0.6,1.8,364,2.4,2.8,843,2.6,3.1,5.7,1.0,1.6,0.2,1.4,1.6
49,Lazaros Papadopoulos,0,BOL,21,27.8,11.5,4.6,8.0,581,0.0,0.0,0,2.2,3.8,588,2.6,5.1,7.7,1.0,1.0,0.5,2.1,2.8
50,Patricio Prato,0,SOLS,19,24.3,11.5,4.1,8.9,462,0.8,2.3,364,2.4,3.1,793,1.0,2.3,3.3,0.9,1.4,0.1,1.6,3.4
51,Jamont Gordon,0,BOL,29,23.9,11.3,4.0,8.8,451,0.9,2.9,325,2.5,3.6,686,1.3,3.4,4.7,1.6,1.8,0.6,2.7,3.2
52,Jerry Green,0,SOLS,30,33.1,11.3,4.0,8.9,451,0.9,2.5,355,2.4,3.2,760,0.4,2.3,2.7,2.7,1.3,0.1,2.2,2.7
53,Sani Becirovic,0,ROM,29,21.5,11.3,3.2,7.1,451,1.1,2.9,376,3.8,4.4,852,0.7,1.7,2.4,3.6,1.2,0.1,2.7,2.1
54,Sharrod Ford,0,BOL,35,27.8,11.3,4.5,8.1,558,0.1,0.3,182,2.1,3.5,607,2.9,6.5,9.4,0.5,1.6,1.7,2.5,3.5
